hate	markmail permalink	type(code, personal, both, unsure)	date	timestamp	mail excerpt
0.548215650637363	http://markmail.org/message/vdhbsasqzqnbx2od	B	01/01/12 12:29	1325417381	WRONG. Alan, you're not getting it. Loading firmware as part of suspend/resume is WRONG.
0.886731624967559	http://markmail.org/message/wajnh3ivnydeegrr	P	02/01/12 14:03	1325509384	What the heck is your problem? Go back and read it. If it wasn't loaded before, THEN IT WASN'T WORKING BEFORE EITHER! ... Why the hell do you keep on harping on idiotic issues? Stop being a moron, just repeat after me: A caching firmware loader fixes all these issues and is simple to boot. Stop the idiotic blathering already.
0.87595585276089	http://markmail.org/message/6yuyz57cmrgo5fbe	B	02/01/12 14:19	1325510354	Why do you make up all these idiotic theoretical cases that nobody cares about and has no relevance what-so-ever for the 99%? Seriously? It's just stupid. ... You seem to *intentionally* be off in some random alternate reality that is not relevant to anybody else, or to the actual reported problems at hand.
0.864581255361391	http://markmail.org/message/67cwg72lysi7isn4	C	05/01/12 08:15	1325747743	"Whjat the f*ck is the logic there? Just fix the *obvious* breakage in BLKROSET. It's clearly what the code *intends* to do, it just didn't check for ENOIOCTLCMD. ... It's a DISEASE how you seem to think that ""we have ugly mistakes in the kernel, SO LET'S ADD ANOTHER ONE"". That's not how we do things. We *fix* things, instead of making things even *worse*. Stop this insanity from spreading, instead of making it spread more!"
0.834850369775705	http://markmail.org/message/7mbldkqli45vetes	B	05/01/12 09:04	1325750648	You are the one who seems to just want to add hack upon hack to things. THAT is what I really hate. It's not only in bad taste, it *will* come back and bite us some day.
0.88118300765669	http://markmail.org/message/2xzd4gfthx7cx4qa	B	06/01/12 14:12	1325855578	"Hell no! Why do you send me this sh*t? The ""Use NMI instead of REBOOT_VECTOR"" commit has been reported to not work AT ALL. It was totally broken... yet you send me this KNOWN BROKEN CRAP. And yes, I checked. The version you sent me is the f*cked one. I was hoping that you would have fixed it up. But no. In short, you didn't merge the fix, and yet you sent me a patch series that was *known* to be broken for the last three+ weeks! ... Why? WHAT THE F*CK HAPPENED, INGO? Yes, I'm angry as hell. Shit like this should NOT happen.  I don't want people sending me known-buggy pull requests."
0.798715158593696	http://markmail.org/message/zl7vtxfzr46qz7vj	C	10/01/12 10:26	1326187598	"Mark, I pulled this, but I was *this* close to unpulling it because it's such an unholy mess. You seem to do the crazy ""daily pull"" crap that NOBODY IS EVER SUPPOSED TO DO. There are lots of totally pointless ... merge commits, and no, that's not ok.... Just don't do it. There's no excuse. The *only* time you should merge is when a sub lieutenant asks you to - and if you have people who work with you and ask you to do pointless merges almost every day, just tell them to shut the f*ck up already!...But dammit, don't then do development on top of that kind of crap - use that branch *only* for linux-next, not for anything else, and don't ask me to pull that polluted piece of sh*t. ...But never *ever* have those stupid pointless ""Merge remote-tracking branch 'regulator/for-linus' into regulator-next"" in the branch you actually use for development, and the branch you send to me."
0.742679263504761	http://markmail.org/message/mm4j5aparrhrd2uj	C	10/01/12 10:36	1326188196	No it's not. Please fix your crappy script. First off, that '#' is wrong. It should be a space.
0.69741327450243	http://markmail.org/message/etgqfjizy2bnlueb	B	10/01/12 11:18	1326190701	...You did *two* of the merges within hours of each other! ... That's just crazy. The fact that you then say that you have some kind of *excuse* for that craziness is just sad. Stop doing that. It's stupid. It just makes it harder for everybody to see what you are doing. ...Can't you see how crazy that is?
0.638953310781119	http://markmail.org/message/pfxugcxqxjfriph5	P	11/01/12 22:41	1326318073	"Stop being a moron. Go back and read the ""nobody can work with you""."
0.690869795819343	http://markmail.org/message/jbizb5ughu4fqxrb	P	14/01/12 18:18	1326561519	That statement is so nonsensical that I can't get past it. When you understand why it is nonsensical, you understand why the bit is cleared. Feel free to bring this up again without that idiotic statement as an argument.
